,precision,recall,f1-score,support
negative,0.9757847533632287,0.993607305936073,0.9846153846153847,1095.0
neutral,0.97610513739546,0.9600470035252644,0.9680094786729858,851.0
positive,0.9847328244274809,0.9791271347248577,0.9819219790675547,1054.0
accuracy,0.979,0.979,0.979,0.979
macro avg,0.9788742383953899,0.9775938147287317,0.9781822807853083,3000.0
weighted avg,0.9790193912676123,0.979,0.9789585594805867,3000.0
